"erik.andersson@localhost.local","Erik","Andersson","Member"
"maria.rodriguez@localhost.local","Maria","Rodriguez","Member"
"sam@localhost.local","Samuel","El Paso","Member"
"ahmed.khan@localhost.local","Ahmed","Khan","Member"
"ali@localhost.local","Ali","Muhammed","Member"
"alca@localhost.local","Alca","Solomon","Member"
"ling.chen@localhost.local","Ling","Chen","Member"
"pablo.fernandez@localhost.local","Pablo","Fernandez","Member"
"sofia.lindstrom@localhost.local","Sofia","Lindström","Member"
"lars.nilsson@localhost.local","Lars","Nilsson","Member"
